sample,iv_var,fe_design,pi_hat,pi_p,F_first,beta_2sls,se_2sls,N,verdict
wage_sample,dzud_any_dzud5_6_17,birth_aimag + birth_cohort + wave,NA,NA,NA,NA,NA,7859,COLLINEAR_USELESS
wage_sample,dzud_any_dzud5_6_17,birth_aimag + birth_year + wave,NA,NA,NA,NA,NA,7859,DIAGNOSTIC_ONLY
wage_sample,dzud_any_dzud5_6_17,birth_aimag + wave,NA,NA,NA,NA,NA,7859,DIAGNOSTIC_ONLY
wage_sample,dzud_any_dzud5_6_17,region + wave,NA,NA,NA,NA,NA,7859,DIAGNOSTIC_ONLY
wage_sample,dzud_count10_6_17,birth_aimag + birth_cohort + wave,0.07840857635843762,0.159120713413848,2.131264063954974,0.1594650893189833,0.1943806991739704,7859,WRONG_SIGN
wage_sample,dzud_count10_6_17,birth_aimag + birth_year + wave,0.07363070450301111,0.36662737407234447,0.8514358273234819,0.4631918514668225,0.5080693131518556,7859,DIAGNOSTIC_ONLY
wage_sample,dzud_count10_6_17,birth_aimag + wave,0.05522911327004158,0.33470161476441773,0.9749006683843876,0.08545432149474408,0.20934546862520445,7859,DIAGNOSTIC_ONLY
wage_sample,dzud_count10_6_17,region + wave,-0.012148173165149512,0.8425064698466349,0.0404667233362627,1.0675988937811525,5.043581363904464,7859,DIAGNOSTIC_ONLY
wage_sample,dzud_count5_6_17,birth_aimag + birth_cohort + wave,0.047065986380814724,0.17511995163271807,1.9694551614318436,-0.08099861957487864,0.1636539467278625,7859,WRONG_SIGN
wage_sample,dzud_count5_6_17,birth_aimag + birth_year + wave,0.029273369050077484,0.6209471514208447,0.2519215792224228,-0.03452193395020231,0.34903235844306923,7859,DIAGNOSTIC_ONLY
wage_sample,dzud_count5_6_17,birth_aimag + wave,0.03680511445679777,0.21289838296225086,1.6503767629744268,-0.17755159515376917,0.26512721705258996,7859,DIAGNOSTIC_ONLY
wage_sample,dzud_count5_6_17,region + wave,-0.005467607970365183,0.8961996017381365,0.017437936759533514,1.906657253582921,13.856020405445975,7859,DIAGNOSTIC_ONLY
wage_sample,dzud_cum_6_17,birth_aimag + birth_cohort + wave,0.004715616110569585,0.09061140431788973,3.1461092591683917,-0.03001342333565926,0.1496052123128071,7859,WRONG_SIGN
wage_sample,dzud_cum_6_17,birth_aimag + birth_year + wave,0.0059403852204829655,0.13507808213152805,2.4155482205776524,0.1008335909844873,0.10340373277518637,7859,DIAGNOSTIC_ONLY
wage_sample,dzud_cum_6_17,birth_aimag + wave,0.003727804970504469,0.16660061676636698,2.053261264022372,-0.09539645457249346,0.2258736277994081,7859,DIAGNOSTIC_ONLY
wage_sample,dzud_cum_6_17,region + wave,-9.23228302427199e-4,0.7361838647604002,0.11656412885178755,0.8962531082088887,2.2585881970467105,7859,DIAGNOSTIC_ONLY
wage_sample,dzud_max_6_17,birth_aimag + birth_cohort + wave,0.0077461353690475455,0.39753790957372614,0.7458898551702509,-0.025785719999012358,0.21687832481705144,7859,WRONG_SIGN
wage_sample,dzud_max_6_17,birth_aimag + birth_year + wave,0.007709294867935707,0.4211813579396111,0.6731209899197275,0.09425681252462503,0.1508560768922219,7859,DIAGNOSTIC_ONLY
wage_sample,dzud_max_6_17,birth_aimag + wave,0.007190255005154087,0.42907987110485146,0.6501969604981053,-0.034111914870381455,0.24707878131535013,7859,DIAGNOSTIC_ONLY
wage_sample,dzud_max_6_17,region + wave,-0.004964029064412316,0.38207459584135495,0.7971152618982166,0.24244506445138736,0.2898960726401978,7859,DIAGNOSTIC_ONLY
wage_sample,dzud_p75_count_6_17,birth_aimag + birth_cohort + wave,0.023279787050630905,0.3384249453982844,0.959657137205197,-0.0726303226493723,0.2662137943357379,7859,WRONG_SIGN
wage_sample,dzud_p75_count_6_17,birth_aimag + birth_year + wave,0.026001573546806624,0.32235861236158014,1.027175386538813,-0.05125720365382236,0.2323890502584444,7859,DIAGNOSTIC_ONLY
wage_sample,dzud_p75_count_6_17,birth_aimag + wave,0.023113683938984088,0.347975841562717,0.9216120834501131,-0.0716123661013679,0.26364164414813257,7859,DIAGNOSTIC_ONLY
wage_sample,dzud_p75_count_6_17,region + wave,-0.008780228394367453,0.7421487751639423,0.11114616919929884,0.5853536637892134,1.548518134696352,7859,DIAGNOSTIC_ONLY
