id,wave,age,sample_flag,main_flag_25_60,reform_main,reform_alt_1997,reform_alt_1999,q_home,q_new,lwage,educ_years
2020-1-1,2020,36,main,1,0,0,0,1.4926570186069723,1.4926570186069723,8.642356334370243,7
2020-4-1,2020,55,main,1,0,0,0,NA,NA,7.236259345954173,10
2020-6-2,2020,49,main,1,0,0,0,NA,NA,8.804875263868018,8
2020-8-1,2020,40,main,1,0,0,0,NA,NA,8.075360439137198,8
2020-8-2,2020,34,main,1,0,0,0,1.508592854975703,1.508592854975703,8.468403027246806,14
2020-11-1,2020,52,main,1,0,0,0,NA,NA,8.396565203627622,10
2020-11-6,2020,24,alt,0,NA,NA,0,1.6851248053982848,1.6851248053982848,8.305884097749031,14
2020-14-1,2020,50,main,1,0,0,0,NA,NA,7.877155836170241,10
2020-14-2,2020,46,main,1,0,0,0,NA,NA,8.08290764477258,10
2020-17-1,2020,47,main,1,0,0,0,NA,NA,7.991100095519458,10
2020-19-1,2020,59,main,1,0,0,0,NA,NA,7.937374696163295,10
2020-22-2,2020,28,main,1,0,0,0,1.5723337356047673,1.5723337356047673,8.468403027246806,15
2020-24-1,2020,28,main,1,0,0,0,1.5723337356047673,1.5723337356047673,9.32015523798339,12
2020-26-2,2020,28,main,1,0,0,0,1.5723337356047673,1.5723337356047673,8.28835161898739,15
2020-26-3,2020,25,main,1,0,NA,0,1.6433664957460496,1.649365888253578,7.728735831051967,15
2020-27-2,2020,34,main,1,0,0,0,1.508592854975703,1.508592854975703,7.442334988756235,0
2020-29-2,2020,42,main,1,0,0,0,NA,NA,7.013115794639964,8
2020-29-4,2020,22,alt,0,1,1,NA,1.742384626750325,1.742384626750325,7.951879382366177,9
2020-30-1,2020,45,main,1,0,0,0,NA,NA,8.981498799547335,15
2020-31-2,2020,37,main,1,0,0,0,1.506024096385542,1.506024096385542,8.239561454817958,14
