variable_name,family,source_file,type,N_nonmissing,missing_rate,unique_values,min,p10,p25,p50,p75,p90,max,correlation_with_lwage,correlation_with_educ_years,correlation_with_parent_educ_mean,likely_pre_determined_yes_no,post_treatment_risk_yes_no,same_as_or_too_close_to_IV_yes_no,usable_for_Caner_Hansen_continuous_threshold_yes_no,usable_as_binary_split_yes_no,expected_mechanism,caveat,theory_score,predetermined_score,data_quality_score,variation_score,post_treatment_penalty,IV_overlap_penalty,overall_score,rejected,rejection_reason
school_density_student_at_15,School quality / education access,C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/cleaned/hses_school_supply_exposure_manual.rds,continuous,980,0.7358490566037736,245,0.6132075471698114,1.055045871559633,1.1394465545306565,1.5205836234618757,1.8309859154929577,2.142857142857143,2.5225225225225225,-0.05599213631654921,0.08338036933598562,-0.1041883235465927,yes,no,no,no,no,Education returns may differ by childhood school access or school quality environment.,weak coverage in main wage sample,5,5,1,5,0,0,16,TRUE,weak coverage in main wage sample
school_density_student_at_17,School quality / education access,C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/cleaned/hses_school_supply_exposure_manual.rds,continuous,1032,0.721832884097035,255,0.6074766355140188,1.0556422256890277,1.1522633744855968,1.5819209039548021,1.8571428571428572,2.142857142857143,2.5225225225225225,-0.05636488776948577,0.07213197486772448,-0.11865134812026035,yes,no,no,no,no,Education returns may differ by childhood school access or school quality environment.,weak coverage in main wage sample,5,5,1,5,0,0,16,TRUE,weak coverage in main wage sample
student_teacher_ratio_at_15,School quality / education access,C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/cleaned/hses_school_supply_exposure_manual.rds,continuous,980,0.7358490566037736,267,3.896103896103896,18.209934395501403,19.619787837412037,21.925925925925927,25,26.55384945984489,66.46706586826348,0.0364802165792691,-0.06772635921553387,0.03350429665261039,yes,no,no,no,no,Education returns may differ by childhood school access or school quality environment.,weak coverage in main wage sample,5,5,1,5,0,0,16,TRUE,weak coverage in main wage sample
student_teacher_ratio_at_17,School quality / education access,C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/cleaned/hses_school_supply_exposure_manual.rds,continuous,1032,0.721832884097035,296,3.67553865652725,17.15438950554995,18.54922279792746,20.95435684647303,24.289068614662146,26.19618913196895,66.4804469273743,0.05379867427233104,-0.05367962226594404,0.05170991447840136,yes,no,no,no,no,Education returns may differ by childhood school access or school quality environment.,weak coverage in main wage sample,5,5,1,5,0,0,16,TRUE,weak coverage in main wage sample
teachers_per_student_at_15,School quality / education access,C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/cleaned/hses_school_supply_exposure_manual.rds,continuous,980,0.7358490566037736,267,0.015045045045045046,0.037659336099585064,0.04,0.04560810810810811,0.05096895074946467,0.05491509433962265,0.25666666666666665,-0.024617666622080564,0.067847520890038,-0.06334385761803751,yes,no,no,no,no,Education returns may differ by childhood school access or school quality environment.,weak coverage in main wage sample,5,5,1,5,0,0,16,TRUE,weak coverage in main wage sample
teachers_per_student_at_17,School quality / education access,C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/cleaned/hses_school_supply_exposure_manual.rds,continuous,1032,0.721832884097035,296,0.015042016806722689,0.038173491379310344,0.04117078410311493,0.047722772277227724,0.053910614525139663,0.05829411764705882,0.27206896551724136,-0.026853556103469848,0.047021269584294687,-0.06023795472301733,yes,no,no,no,no,Education returns may differ by childhood school access or school quality environment.,weak coverage in main wage sample,5,5,1,5,0,0,16,TRUE,weak coverage in main wage sample
mean_school_density_student_age7_15,School quality / education access,C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/cleaned/hses_school_supply_exposure_manual.rds,continuous,523,0.8590296495956873,125,0.7732044945797748,1.0399561228260095,1.220723922314114,1.545017281985095,1.8207631355144027,1.9853407395926097,2.3198350179029714,-0.08153082434636397,0.03819003058460008,-0.09699643641501973,yes,no,no,no,no,Education returns may differ by childhood school access or school quality environment.,weak coverage in main wage sample,5,5,0,5,0,0,15,TRUE,weak coverage in main wage sample
mean_student_teacher_ratio_age7_15,School quality / education access,C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/cleaned/hses_school_supply_exposure_manual.rds,continuous,523,0.8590296495956873,125,15.798861300408516,20.659034153305956,21.943828268926893,23.04532182274193,24.439662298811964,25.140983466997632,42.01113531026407,0.006957131055840463,1.3228790927955074e-4,0.007051036721524657,yes,no,no,no,no,Education returns may differ by childhood school access or school quality environment.,weak coverage in main wage sample,5,5,0,5,0,0,15,TRUE,weak coverage in main wage sample
mean_students_per_school_age7_15,School quality / education access,C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/cleaned/hses_school_supply_exposure_manual.rds,continuous,523,0.8590296495956873,125,432.1565407772304,505.9549303638155,551.0313408781929,648.9357391579614,822.845182347098,970.0521974445669,1327.3741690408358,0.08541434609595391,-0.03380279794200797,0.12940653211328568,yes,no,no,no,no,Education returns may differ by childhood school access or school quality environment.,weak coverage in main wage sample,5,5,0,5,0,0,15,TRUE,weak coverage in main wage sample
mean_teachers_per_student_age7_15,School quality / education access,C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/cleaned/hses_school_supply_exposure_manual.rds,continuous,523,0.8590296495956873,125,0.03079395977016489,0.04009921989340506,0.04129917629404324,0.04410512983507461,0.04604238009905044,0.04923182252455091,0.11932311621966794,-0.008340284116379684,0.013994821682114857,-0.06678060350311305,yes,no,no,no,no,Education returns may differ by childhood school access or school quality environment.,weak coverage in main wage sample,5,5,0,5,0,0,15,TRUE,weak coverage in main wage sample
